Jun 13, 2019  08:22:15 AM
Residual Gas Analyzer Software 
RGA Software Version, 3.218.003

Pressure vs Time Scan Setup:

Active channels in Scan, 6 
Units, Torr
Sample Period, 1.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.91E-004 
Filament Current, 1.00, mAmps
Start time, Jun 13, 2019  08:22:15 AM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         28.00          Nitrogen              1.00         3            OFF
2         57.00          TMA                   1.00         3            OFF
3         18.00          Water                 1.00         3            OFF
4         16.00          Methane               1.00         3            OFF
5         32.00          Oxygen                1.00         3            OFF
6         44.00          Carbon dioxide        1.00         3            OFF


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   Channel#5   Channel#6   

189.594,   1.1020E-006,   5.6702E-010,   6.1541E-009,   4.3679E-009,   2.0037E-009,  -2.2222E-010,  
194.594,   1.0685E-006,   5.5145E-010,   6.1105E-009,   4.0472E-009,   1.8768E-009,  -2.8407E-010,  
199.610,   1.0936E-006,   5.3995E-010,   5.9986E-009,   4.1635E-009,   1.7594E-009,  -2.0493E-010,  
204.610,   1.0062E-006,   6.0358E-010,   6.0224E-009,   3.8260E-009,   1.6164E-009,  -2.1226E-010,  
209.594,   1.0264E-006,   5.5020E-010,   5.9112E-009,   3.8548E-009,   1.8784E-009,  -2.9088E-010,  
214.610,   9.6821E-007,   5.6460E-010,   5.9195E-009,   3.9188E-009,   1.6619E-009,  -3.6740E-010,  
219.610,   9.3586E-007,   5.5036E-010,   5.8831E-009,   3.5970E-009,   1.5833E-009,  -3.4591E-010,  
224.610,   9.5557E-007,   5.7166E-010,   5.8076E-009,   4.0791E-009,   1.2773E-009,  -4.1300E-010,  
229.594,   9.3858E-007,   5.3734E-010,   5.7785E-009,   3.8622E-009,   1.4848E-009,  -5.4350E-010,  
234.610,   9.3587E-007,   5.3355E-010,   5.6871E-009,   3.8276E-009,   1.6410E-009,  -2.4004E-010,  
239.610,   8.6487E-007,   5.5718E-010,   5.6934E-009,   3.5005E-009,   1.4969E-009,  -3.7683E-010,  
244.610,   8.6605E-007,   5.3458E-010,   5.5864E-009,   3.9675E-009,   1.5445E-009,  -4.9423E-010,  
249.594,   8.1602E-007,   5.3523E-010,   5.6194E-009,   3.5786E-009,   1.3071E-009,  -5.5922E-010,  
254.610,   8.2178E-007,   4.9239E-010,   5.4839E-009,   4.0183E-009,   1.3496E-009,  -4.5388E-010,  
259.594,   8.3640E-007,   5.2705E-010,   5.4555E-009,   3.7243E-009,   1.2531E-009,  -5.4979E-010,  
264.594,   8.0395E-007,   5.6848E-010,   5.4726E-009,   3.9109E-009,   1.3139E-009,  -4.9319E-010,  
269.594,   7.4845E-007,   5.3735E-010,   5.3648E-009,   3.6703E-009,   1.2893E-009,  -4.9895E-010,  
274.610,   7.8298E-007,   5.2917E-010,   5.2821E-009,   3.3590E-009,   1.0351E-009,  -6.0692E-010,  
279.610,   7.8142E-007,   5.2717E-010,   5.2181E-009,   3.4282E-009,   1.3118E-009,  -5.8176E-010,  
284.610,   7.6458E-007,   5.4937E-010,   5.2030E-009,   3.3192E-009,   1.4146E-009,  -5.1834E-010,  
289.610,   7.3015E-007,   5.2005E-010,   5.0968E-009,   3.3857E-009,   1.3066E-009,  -6.0797E-010,  
294.625,   7.2959E-007,   4.8264E-010,   5.0387E-009,   3.4439E-009,   1.2940E-009,  -5.6604E-010,  
299.610,   7.0691E-007,   4.9494E-010,   5.0003E-009,   3.5309E-009,   1.0692E-009,  -6.7296E-010,  
304.625,   6.9910E-007,   5.0440E-010,   4.9740E-009,   3.1730E-009,   9.6384E-010,  -4.3187E-010,  
309.625,   6.5777E-007,   5.3512E-010,   4.9338E-009,   3.3087E-009,   1.0257E-009,  -5.6027E-010,  
314.625,   6.3813E-007,   4.9973E-010,   4.8258E-009,   3.2951E-009,   8.9675E-010,  -5.3197E-010,  
319.625,   6.3475E-007,   5.0317E-010,   4.7350E-009,   3.0183E-009,   1.0367E-009,  -5.1992E-010,  
324.625,   6.5012E-007,   5.0708E-010,   4.7594E-009,   3.1913E-009,   9.7589E-010,  -5.5608E-010,  
329.610,   6.0488E-007,   5.1605E-010,   4.5812E-009,   2.8899E-009,   9.8113E-010,  -4.9895E-010,  
334.625,   6.0844E-007,   5.1745E-010,   4.5742E-009,   3.2448E-009,   1.0634E-009,  -6.4570E-010,  
339.610,   5.8813E-007,   4.5572E-010,   4.5540E-009,   3.0624E-009,   1.0556E-009,  -7.0755E-010,  
344.610,   5.9966E-007,   4.9060E-010,   4.4433E-009,   3.3097E-009,   8.0293E-010,  -6.2736E-010,  
349.625,   5.6241E-007,   4.6871E-010,   4.4034E-009,   3.0105E-009,   7.0073E-010,  -4.4340E-010,  
354.625,   5.5076E-007,   4.9396E-010,   4.3723E-009,   2.7049E-009,   8.9308E-010,  -4.7589E-010,  
359.625,   5.4765E-007,   5.1035E-010,   4.3205E-009,   3.0713E-009,   8.8260E-010,  -5.5398E-010,  
364.625,   5.1392E-007,   4.5637E-010,   4.2578E-009,   2.8229E-009,   8.7893E-010,  -5.5608E-010,  
369.625,   5.3688E-007,   4.8581E-010,   4.2585E-009,   3.0231E-009,   7.8040E-010,  -4.6436E-010,  
374.625,   5.0771E-007,   5.0223E-010,   4.1250E-009,   2.9167E-009,   9.0618E-010,  -5.7862E-010,  
379.610,   5.0302E-007,   4.9393E-010,   4.1015E-009,   2.8501E-009,   8.1866E-010,  -4.4864E-010,  
384.625,   4.7981E-007,   4.7610E-010,   3.9967E-009,   2.7086E-009,   5.1625E-010,  -6.2788E-010,  
389.610,   4.8822E-007,   4.9786E-010,   3.9752E-009,   3.1405E-009,   4.5755E-010,  -7.3532E-010,  
394.625,   4.6316E-007,   4.6989E-010,   4.0062E-009,   2.4575E-009,   5.8019E-010,  -5.7390E-010,  
399.625,   4.5565E-007,   4.5376E-010,   3.8426E-009,   2.6352E-009,   4.9004E-010,  -6.7400E-010,  
404.625,   4.5166E-007,   4.4068E-010,   3.7854E-009,   2.7243E-009,   6.8501E-010,  -4.7327E-010,  
409.610,   4.3656E-007,   4.6395E-010,   3.7468E-009,   3.1714E-009,   7.0440E-010,  -5.2358E-010,  
414.610,   4.2686E-007,   5.1489E-010,   3.6828E-009,   2.7725E-009,   4.2872E-010,  -3.7002E-010,  
419.625,   4.3406E-007,   4.6533E-010,   3.6303E-009,   3.0582E-009,   5.1625E-010,  -6.7086E-010,  
424.610,   4.3196E-007,   4.5670E-010,   3.6004E-009,   2.6169E-009,   4.7013E-010,  -7.1436E-010,  
429.625,   4.1734E-007,   4.5516E-010,   3.5880E-009,   2.5246E-009,   7.8878E-010,  -6.4308E-010,  
